Brand,Model,Year,Transmission,Mileage,Fuel Type,Tax,MPG,Engine Size,Price
Mercedes,CLA Class,2017,Automatic,8423,Diesel,150,67.3,2.1,18790
Hyundai,Getz,2003,Automatic,51000,Petrol,260,37.2,1.6,1990
Audi,A8,2020,Automatic,3452,Diesel,145,39.2,3,49800
Toyota,Prius,2017,Automatic,56178,Hybrid,140,94.1,1.8,16500
Ford,Grand C-MAX,2015,Manual,25969,Diesel,30,64.2,1.5,9998
VW,Scirocco,2016,Manual,19320,Petrol,305,34.9,2,18999
Hyundai,IX20,2017,Manual,20967,Petrol,145,50.4,1.4,8340
Skoda,Yeti,2014,Manual,57801,Diesel,30,61.4,1.6,6700
Ford,Edge,2018,Manual,26531,Diesel,145,47.9,2,21200
VW,Scirocco,2017,Manual,20648,Diesel,20,55.4,2,15598
Ford,Grand C-MAX,2017,Manual,17121,Diesel,30,64.2,1.5,10500
Toyota,Avensis,2016,Manual,29210,Petrol,145,47.1,1.8,11495
Toyota,Supra,2019,Semi-Auto,3000,Petrol,145,34.5,3,49990
BMW,i3,2015,Automatic,29465,Electric,0,470.8,1,17400
Ford,Mustang,2020,Automatic,3500,Petrol,145,30.7,2.3,38489
Ford,KA,2014,Manual,17000,Petrol,30,57.7,1.2,4999
VW,Scirocco,2017,Manual,25150,Diesel,145,64.2,2,17999
Skoda,Scala,2019,Manual,2688,Petrol,150,49.6,1,14995
Hyundai,I40,2015,Manual,62106,Diesel,125,60.1,1.7,8750
VW,Scirocco,2013,Manual,67547,Petrol,160,44.1,1.4,7599
Skoda,Scala,2019,Automatic,499,Diesel,145,54.3,1.6,16995
Mercedes,M Class,2012,Automatic,61898,Diesel,300,39.2,3,14400
Mercedes,CLS Class,2017,Semi-Auto,45870,Diesel,125,57.7,2.1,20480
Ford,Grand Tourneo Connect,2019,Manual,542,Diesel,145,61.4,1.5,18500
Mercedes,V Class,2018,Manual,21749,Diesel,145,46.3,2.1,18000
BMW,Z4,2020,Semi-Auto,4646,Petrol,145,38.7,2,29990
VW,Scirocco,2017,Semi-Auto,50405,Diesel,30,57.6,2,13791
BMW,X6,2016,Semi-Auto,26615,Diesel,200,44.8,3,32800
Mercedes,S Class,2019,Automatic,3671,Petrol,145,31.7,4,104590
Mercedes,S Class,2017,Automatic,26000,Diesel,150,50.4,3,28999
Mercedes,CLA Class,2017,Automatic,7392,Petrol,150,53.3,1.6,17000
VW,Scirocco,2017,Automatic,18682,Diesel,145,57.6,2,15117
VW,Beetle,2014,Manual,36262,Petrol,150,47.9,1.2,9965
Hyundai,I800,2019,Automatic,12450,Diesel,145,28,2.5,19965
Vauxhall,Zafira Tourer,2014,Manual,45000,Diesel,145,55.4,2,7699
Mercedes,X-CLASS,2019,Automatic,3789,Diesel,260,31.4,3,47400
Audi,S3,2014,Semi-Auto,63000,Petrol,200,40.9,2,17500
Hyundai,Santa Fe,2016,Manual,44905,Diesel,200,47.1,2.2,16498
Toyota,Land Cruiser,2020,Automatic,4000,Diesel,150,30.1,2.8,54550
Skoda,Scala,2019,Manual,2000,Diesel,145,57.7,1.6,17995
Ford,Edge,2018,Automatic,13712,Diesel,145,47.9,2,23740
BMW,X6,2015,Semi-Auto,26100,Diesel,205,45.6,3,25000
Vauxhall,GTC,2018,Manual,8193,Petrol,145,47.1,1.4,13496
Mercedes,V Class,2019,Automatic,1250,Diesel,145,44.8,2.2,39500
VW,Tiguan Allspace,2019,Automatic,4647,Petrol,145,30.7,2,31113
Audi,RS3,2019,Automatic,6005,Petrol,145,30.1,2.5,40399
VW,Jetta,2015,Manual,84700,Diesel,20,67.3,2,8495
VW,Scirocco,2014,Manual,54239,Diesel,30,62.8,2,10500
VW,Amarok,2019,Automatic,10000,Diesel,260,33.6,3,35995
Mercedes,V Class,2017,Automatic,8141,Diesel,145,45.6,2.2,32980
Skoda,Scala,2020,Semi-Auto,1700,Petrol,145,47.1,1,16995
VW,Arteon,2020,Semi-Auto,3000,Petrol,145,35.8,2,32495
Mercedes,S Class,2019,Semi-Auto,1766,Diesel,145,48.7,3,63099
Skoda,Yeti,2016,Semi-Auto,26254,Petrol,125,51.4,1.2,11490
VW,Caddy Maxi Life,2018,Manual,6200,Diesel,145,57.7,2,18990
Hyundai,IX20,2017,Automatic,31100,Petrol,160,43.5,1.6,8495
VW,Amarok,2019,Automatic,8500,Diesel,260,28.3,3,30000
Vauxhall,Combo Life,2018,Manual,6900,Diesel,145,53.3,1.5,15995
Vauxhall,Zafira Tourer,2016,Manual,22983,Petrol,200,42.2,1.4,9950
Vauxhall,Zafira Tourer,2015,Manual,50000,Petrol,205,42.2,1.4,8500
BMW,6 Series,2017,Automatic,35357,Diesel,205,49.6,3,22475
Ford,Edge,2019,Semi-Auto,7015,Diesel,145,37.2,2,32490
BMW,M4,2020,Semi-Auto,1500,Petrol,145,34,3,45995
Hyundai,Santa Fe,2017,Semi-Auto,39990,Diesel,235,42.8,2.2,17599
Hyundai,I800,2016,Manual,30283,Diesel,300,37.7,2.5,13990
Audi,S4,2019,Automatic,1481,Diesel,145,39.2,3,42888
Skoda,Kamiq,2020,Manual,1169,Petrol,145,46.3,1.5,20999
VW,Caddy Life,2017,Semi-Auto,20123,Diesel,145,55.4,2,15998
Ford,KA,2014,Manual,54096,Petrol,30,57.7,1.2,4290
VW,Arteon,2019,Semi-Auto,9988,Petrol,145,32.8,2,27995
Ford,Edge,2016,Automatic,36142,Diesel,165,48.7,2,19199
Mercedes,GL Class,2016,Automatic,36000,Diesel,235,42.8,3,27990
Audi,RS6,2017,Automatic,39300,Petrol,145,29.4,4,54990
Toyota,Verso,2017,Semi-Auto,19687,Petrol,165,43.5,1.8,16299
Vauxhall,Combo Life,2018,Manual,11935,Diesel,145,53.3,1.5,15690
Mercedes,GL Class,2017,Automatic,19000,Diesel,145,56.5,2.1,18990
VW,CC,2014,Manual,11980,Diesel,125,58.9,2,12400
Mercedes,S Class,2015,Semi-Auto,30554,Diesel,200,48.7,3,27998
Mercedes,SLK,2008,Automatic,60000,Petrol,280,34.4,1.8,5980
Skoda,Rapid,2017,Manual,50000,Diesel,145,74.3,1.6,8495
Audi,RS6,2016,Automatic,51600,Petrol,325,29.4,4,48990
Audi,RS6,2017,Semi-Auto,39300,Petrol,145,29.4,4,54490
VW,Caravelle,2012,Semi-Auto,212000,Diesel,325,34.4,2,11995
VW,Caravelle,2019,Semi-Auto,8198,Diesel,145,33.6,2,41990
Ford,KA,2015,Manual,41800,Petrol,30,57.7,1.2,4995
VW,CC,2013,Manual,79303,Diesel,30,60.1,2,7970
VW,Tiguan Allspace,2019,Semi-Auto,5407,Diesel,145,39.2,2,27599
Ford,Grand C-MAX,2017,Manual,31125,Diesel,145,64.2,1.5,10600
Vauxhall,Vivaro,2018,Manual,22036,Diesel,145,40.9,1.6,19500
Audi,A7,2019,Automatic,6785,Diesel,145,35.8,3,46480
Hyundai,IX35,2012,Manual,119050,Diesel,150,48.7,1.7,5000
Ford,KA,2019,Manual,6596,Petrol,145,47.9,1.2,10000
Audi,RS5,2015,Automatic,66000,Petrol,555,26.9,4.2,25950
Audi,A7,2020,Automatic,1200,Diesel,150,38.2,3,45000
BMW,M5,2018,Semi-Auto,10455,Petrol,150,26.9,4.4,59973
BMW,6 Series,2015,Semi-Auto,46659,Diesel,160,49.6,3,20490
VW,Caravelle,2019,Automatic,8521,Diesel,145,32.8,2,43499
VW,Beetle,2016,Semi-Auto,13771,Petrol,125,53.3,1.2,12995
Vauxhall,Vivaro,2015,Manual,40868,Diesel,235,42.8,1.6,13995
VW,Shuttle,2017,Manual,39013,Diesel,200,47.1,2,19498
Ford,KA,2008,Manual,77000,Petrol,195,43.5,1.3,850
Toyota,GT86,2019,Manual,8912,Petrol,145,33.2,2,25995
Ford,KA,2013,Manual,69000,Petrol,30,57.7,1.2,2975
BMW,X6,2019,Semi-Auto,1000,Diesel,145,34.9,3,61854
Mercedes,CLS Class,2019,Automatic,2817,Diesel,145,47.9,2.9,45636
Ford,Puma,2020,Manual,1879,Petrol,145,50.4,1,21999
Audi,RS5,2018,Automatic,13121,Petrol,145,32.5,2.9,42000
Mercedes,GL Class,2016,Manual,34132,Petrol,145,48.7,1.6,16299
Vauxhall,Combo Life,2019,Manual,839,Diesel,145,53.3,1.5,17299
BMW,M4,2020,Semi-Auto,30,Petrol,145,34,3,48000
Ford,Tourneo Custom,2019,Manual,10012,Diesel,150,35.3,2,24000
VW,Scirocco,2017,Manual,34217,Diesel,145,53.3,2,14728
Mercedes,V Class,2019,Automatic,100,Diesel,145,36.7,2,46895
Toyota,Verso,2017,Semi-Auto,25050,Petrol,200,42.8,1.8,12990
Mercedes,SLK,2013,Automatic,43150,Petrol,200,43.5,1.8,12995
VW,Amarok,2019,Automatic,5000,Diesel,260,33.6,3,32290
Audi,Q8,2019,Automatic,8787,Diesel,145,32.8,3,56996
VW,Beetle,2014,Manual,40830,Petrol,235,38.7,2,10700
BMW,7 Series,2019,Semi-Auto,2218,Petrol,145,33.6,3,50390
Ford,Puma,2002,Manual,108000,Petrol,230,38.2,1.7,2195
Hyundai,Santa Fe,2017,Semi-Auto,41429,Diesel,145,42.8,2.2,18894
Mercedes,CLS Class,2013,Automatic,65000,Diesel,150,54.3,2.1,12000
Vauxhall,Combo Life,2018,Manual,4541,Diesel,145,53.3,1.5,13990
Toyota,Avensis,2017,Manual,22640,Diesel,20,67.3,1.6,11645
Ford,Tourneo Connect,2017,Manual,5094,Diesel,145,64.2,1.5,12998
Ford,KA,2012,Manual,86667,Petrol,30,57.7,1.2,3491
Toyota,Avensis,2015,Manual,42238,Diesel,30,62.8,2,9065
Mercedes,GL Class,2016,Automatic,16000,Diesel,300,36.2,3,36500
Toyota,Prius,2019,Automatic,464,Hybrid,135,61.4,1.8,23498
Hyundai,Santa Fe,2019,Semi-Auto,130,Diesel,145,42.8,2.2,31995
VW,Arteon,2019,Manual,11334,Diesel,145,65.7,2,23650
BMW,X4,2019,Semi-Auto,8310,Diesel,145,42.8,2,36390
Hyundai,Santa Fe,2002,Manual,94000,Petrol,325,30.4,2.4,1200
Ford,Galaxy,2017,Manual,36947,Diesel,125,56.5,2,18979
Mercedes,CLA Class,2014,Automatic,45000,Diesel,30,62.8,2.1,15990
Audi,RS3,2015,Semi-Auto,60457,Petrol,300,34.9,2.5,26995
Ford,Mustang,2016,Semi-Auto,42086,Petrol,570,23.5,5,24999
Skoda,Scala,2020,Manual,747,Petrol,145,50.4,1,14985
VW,Scirocco,2017,Manual,18688,Petrol,150,52.3,1.4,13990
BMW,X4,2019,Automatic,9210,Diesel,145,42.8,2,39990
Vauxhall,Combo Life,2019,Manual,2072,Petrol,145,42.2,1.2,14591
BMW,M4,2017,Semi-Auto,20750,Petrol,300,34,3,34950
BMW,X6,2019,Automatic,4509,Diesel,145,34.9,3,59991
Ford,Tourneo Custom,2017,Manual,15000,Diesel,145,46.3,2,19990
VW,Jetta,2011,Manual,60200,Diesel,125,58.9,2,5995
VW,Caddy,2015,Manual,45500,Diesel,160,49.6,2,13590
VW,Arteon,2019,Automatic,6000,Diesel,145,60.1,2,27990
VW,Beetle,2014,Manual,37864,Petrol,145,47.9,1.2,8311
Mercedes,SLK,2002,Automatic,61400,Petrol,325,30,2.3,3990
Ford,KA,2015,Manual,38622,Petrol,30,57.7,1.2,4500
Ford,Puma,2019,Manual,207,Petrol,145,50.4,1,20800
Mercedes,V Class,2019,Semi-Auto,14086,Diesel,145,45.6,2.2,38995
Ford,KA,2009,Manual,85000,Petrol,30,55.4,1.2,1954
Mercedes,GL Class,2018,Automatic,14505,Petrol,145,50.4,1.6,20699
Hyundai,IX20,2016,Manual,21152,Diesel,30,64.2,1.6,9000
BMW,M3,2017,Semi-Auto,21431,Petrol,150,34,3,37970
Ford,KA,2013,Manual,51000,Petrol,30,57.7,1.2,4490
Hyundai,Santa Fe,2014,Manual,55000,Diesel,200,46.3,2.2,14500
Ford,Tourneo Connect,2015,Manual,47904,Diesel,125,56.5,1.6,9295
Ford,Edge,2017,Semi-Auto,34270,Diesel,145,47.9,2,20495
Skoda,Rapid,2015,Manual,37500,Diesel,30,64.2,1.6,8490
BMW,M4,2015,Semi-Auto,37724,Petrol,325,32.5,3,29490
Hyundai,Santa Fe,2019,Automatic,10903,Diesel,145,39.2,2.2,32450
Skoda,Rapid,2018,Manual,11154,Petrol,145,61.4,1,9791
VW,Caddy Maxi Life,2019,Semi-Auto,9277,Diesel,145,54.3,2,18795
Toyota,GT86,2020,Manual,516,Petrol,150,33.2,2,27998
Mercedes,CLS Class,2018,Automatic,8376,Petrol,145,36.2,3,41495
Ford,KA,2016,Manual,27703,Petrol,30,57.7,1.2,5999
Hyundai,IX35,2014,Manual,22632,Diesel,145,53.3,1.7,8990
Skoda,Rapid,2016,Manual,45895,Petrol,30,57.7,1.2,7795
Mercedes,CLA Class,2016,Automatic,30500,Petrol,205,40.9,2,28944
VW,Jetta,2008,Manual,111000,Diesel,155,48.7,2,2295
Ford,Grand C-MAX,2017,Manual,48934,Petrol,150,54.3,1,10998
Ford,Grand C-MAX,2017,Manual,8764,Diesel,30,64.2,1.5,12850
Ford,Edge,2019,Automatic,3000,Diesel,145,40.4,2,23995
Toyota,PROACE VERSO,2019,Automatic,5633,Diesel,145,38.7,2,27990
Hyundai,I800,2018,Automatic,32383,Diesel,145,28,2.5,15995
Hyundai,I40,2016,Manual,40741,Diesel,30,65.7,1.7,9798
Ford,Grand C-MAX,2017,Manual,53296,Diesel,30,64.2,1.5,7994
BMW,i8,2015,Automatic,43323,Hybrid,0,134.5,1.5,44990
Mercedes,GLS Class,2016,Semi-Auto,33000,Diesel,300,37.2,3,36495
VW,Arteon,2019,Semi-Auto,7000,Petrol,145,47.1,2,28995
BMW,7 Series,2017,Semi-Auto,7500,Petrol,150,35.3,4.4,38950
VW,Tiguan Allspace,2018,Semi-Auto,8019,Diesel,145,47.9,2,25499
Ford,Edge,2016,Semi-Auto,28860,Diesel,200,47.9,2,20595
BMW,Z4,2020,Semi-Auto,10,Petrol,145,38.7,2,33490
Vauxhall,Combo Life,2019,Manual,6526,Petrol,145,42.2,1.2,13887
VW,Scirocco,2011,Manual,80000,Diesel,30,62.8,2,6975
VW,Arteon,2018,Automatic,20159,Petrol,145,47.1,2,20990
Ford,Tourneo Custom,2018,Manual,6959,Diesel,145,46.3,2,21980
VW,Scirocco,2017,Manual,37835,Diesel,30,53.3,2,15601
Mercedes,S Class,2019,Semi-Auto,9955,Diesel,145,52.3,3,48896
Mercedes,CLA Class,2017,Manual,31555,Diesel,20,67.3,2.1,17999
Toyota,Prius,2017,Automatic,23056,Hybrid,0,94.1,1.8,17995
VW,Amarok,2017,Automatic,51214,Diesel,260,36.2,3,23990
Audi,A8,2015,Semi-Auto,52891,Diesel,205,47.9,3,19999
Mercedes,S Class,2019,Semi-Auto,8365,Diesel,145,52.3,3,48499
Skoda,Kamiq,2019,Manual,3100,Petrol,145,47.9,1,17990
VW,Shuttle,2019,Semi-Auto,14028,Diesel,145,32.8,2,28995
BMW,Z4,2014,Manual,22080,Petrol,205,41.5,2,13498
Skoda,Scala,2019,Semi-Auto,5900,Diesel,145,54.3,1.6,21501
Mercedes,V Class,2019,Automatic,9000,Diesel,145,38.7,2,29990
Hyundai,IX35,2015,Manual,64925,Diesel,165,51.4,2,8298
Hyundai,Santa Fe,2016,Automatic,29448,Diesel,260,41.5,2.2,16499
Mercedes,S Class,2019,Semi-Auto,369,Diesel,145,52.3,3,54999
Vauxhall,Agila,2009,Manual,62000,Petrol,125,51.4,1.2,2995
BMW,X6,2018,Semi-Auto,7427,Diesel,145,40.9,3,39990
Ford,Puma,2019,Manual,3000,Petrol,145,50.4,1,25820
Hyundai,I800,2018,Manual,32235,Diesel,145,28,2.5,15998
Audi,A7,2019,Automatic,1932,Diesel,145,35.8,3,53750
Ford,Edge,2016,Automatic,52000,Diesel,200,47.9,2,20799
Hyundai,IX20,2017,Automatic,19825,Petrol,160,43.5,1.6,10290
BMW,Z4,2020,Semi-Auto,10,Petrol,150,38.7,2,31895
Skoda,Kamiq,2019,Manual,4500,Diesel,145,56.5,1.6,15795
Ford,Grand C-MAX,2017,Manual,7219,Diesel,30,64.2,1.5,14498
VW,Arteon,2019,Automatic,4867,Petrol,145,32.8,2,26880
Hyundai,IX20,2016,Manual,17611,Petrol,125,50.4,1.4,8590
Skoda,Yeti,2016,Manual,13757,Petrol,125,51.4,1.2,11355
Hyundai,IX20,2018,Automatic,17167,Petrol,145,43.5,1.6,10990
BMW,M4,2019,Semi-Auto,5239,Petrol,145,34,3,46995
Skoda,Scala,2020,Manual,2217,Petrol,145,49.6,1,16750
Ford,Grand C-MAX,2017,Manual,20064,Petrol,30,54.3,1,11700
Hyundai,I800,2018,Automatic,33587,Diesel,145,28,2.5,16990
Mercedes,S Class,2019,Semi-Auto,375,Diesel,145,52.3,3,48998
VW,Tiguan Allspace,2018,Semi-Auto,28977,Diesel,145,47.9,2,21900
Mercedes,M Class,2015,Semi-Auto,33059,Diesel,300,39.2,3,24480
Hyundai,I40,2015,Manual,22000,Diesel,20,67.3,1.7,8495
BMW,X6,2013,Automatic,44176,Diesel,300,37.7,3,17999
Ford,Tourneo Connect,2019,Manual,1390,Diesel,145,61.4,1.5,20000
Mercedes,CLS Class,2012,Automatic,66880,Diesel,200,46.3,3,12490
Toyota,Prius,2015,Automatic,25360,Hybrid,10,64.2,1.8,23995
VW,Eos,2011,Manual,43000,Petrol,185,41.5,1.4,7195
Ford,Tourneo Custom,2019,Manual,21529,Diesel,145,32.5,2,18990
Skoda,Kamiq,2020,Semi-Auto,1000,Petrol,145,43.5,1.5,23750
VW,Caddy,2012,Manual,26142,Diesel,200,48.7,1.6,9995
Vauxhall,GTC,2015,Manual,63605,Diesel,30,65.7,1.6,6995
BMW,8 Series,2019,Semi-Auto,1135,Diesel,145,40.4,3,58940
Ford,KA,2008,Manual,77000,Petrol,200,43.5,1.3,1550
Toyota,PROACE VERSO,2019,Manual,588,Diesel,145,40.4,2,24498
VW,Scirocco,2015,Manual,46027,Diesel,20,55.4,2,11498
VW,Beetle,2015,Manual,35212,Diesel,30,65.7,1.6,8995
Mercedes,SLK,2001,Automatic,91000,Petrol,325,30,2.3,3950
Hyundai,Santa Fe,2019,Automatic,14778,Diesel,145,39.8,2.2,28995
BMW,M4,2019,Automatic,2460,Petrol,145,34,3,46000
Hyundai,I40,2018,Manual,17755,Diesel,145,67.3,1.7,11985
BMW,X4,2019,Semi-Auto,5656,Diesel,150,42.8,2,34990
BMW,X4,2019,Semi-Auto,7272,Diesel,150,42.8,2,33998
Toyota,Land Cruiser,2017,Semi-Auto,21000,Diesel,150,38.2,2.8,33870
VW,Scirocco,2015,Manual,49853,Diesel,20,55.4,2,11000
Ford,Galaxy,2017,Manual,50446,Diesel,125,56.5,2,16990
Mercedes,GL Class,2014,Automatic,34534,Petrol,200,42.8,2,15965
Ford,Tourneo Custom,2016,Manual,22704,Diesel,200,44.8,2,16700
Hyundai,IX20,2017,Manual,15773,Petrol,145,50.4,1.4,9450
Ford,Grand Tourneo Connect,2015,Manual,94000,Diesel,125,58.9,1.6,8995
Mercedes,SLK,2000,Automatic,113237,Petrol,270,27.2,3.2,3990
BMW,6 Series,2016,Automatic,32449,Diesel,160,51.4,3,18450
Mercedes,S Class,2019,Automatic,4320,Diesel,145,52.3,3,52950
Ford,Grand C-MAX,2017,Manual,22888,Petrol,30,54.3,1,10990
BMW,X4,2015,Automatic,44147,Diesel,200,47.9,3,20000
Hyundai,IX35,2015,Manual,59238,Diesel,145,54.3,1.7,8250
Hyundai,I40,2017,Manual,17393,Diesel,145,65.7,1.7,11485
Hyundai,IX35,2015,Manual,59817,Diesel,145,54.3,1.7,7885
Ford,Grand Tourneo Connect,2015,Manual,115613,Diesel,125,58.9,1.6,6499
Vauxhall,GTC,2016,Manual,40646,Petrol,160,47.1,1.4,8998
Toyota,Prius,2013,Automatic,56077,Hybrid,10,64.2,1.8,16500
Ford,Grand C-MAX,2019,Manual,15097,Diesel,145,56.5,1.5,16750
BMW,Z4,2016,Semi-Auto,16761,Petrol,200,41.5,2,17732
Mercedes,SLK,2015,Manual,47003,Petrol,205,41.5,1.8,13400
Audi,A7,2019,Semi-Auto,6000,Diesel,145,48.7,2,33000
BMW,6 Series,2015,Semi-Auto,26797,Diesel,160,49.6,3,23552
Audi,A8,2019,Automatic,5000,Petrol,145,37.7,3,42989
Ford,Puma,2020,Manual,2396,Petrol,145,49.6,1,25000
VW,Amarok,2019,Automatic,3412,Diesel,260,27.7,3,39999
Toyota,Hilux,2019,Automatic,18645,Diesel,260,36.2,2.4,31198
Ford,Grand C-MAX,2016,Automatic,13642,Diesel,30,58.9,1.5,10500
Mercedes,GL Class,2015,Automatic,51081,Diesel,325,50.39015764,3,28975
VW,Arteon,2018,Semi-Auto,20810,Petrol,145,47.1,2,19998
BMW,X4,2017,Semi-Auto,37114,Diesel,200,47.9,3,26191
VW,Beetle,2014,Manual,33391,Diesel,30,65.7,1.6,7930
Ford,KA,2011,Manual,64304,Petrol,30,57.7,1.2,3000
BMW,6 Series,2014,Automatic,29178,Diesel,160,50.4,3,16999
Audi,RS6,2017,Automatic,17283,Petrol,150,29.4,4,59900
Vauxhall,GTC,2016,Manual,26342,Petrol,160,47.1,1.4,7190
Vauxhall,Vivaro,2016,Manual,13000,Diesel,160,49.6,1.6,13988
Skoda,Yeti,2017,Semi-Auto,11000,Petrol,125,51.4,1.2,14499
Mercedes,V Class,2019,Manual,20578,Diesel,145,46.3,2.1,17699
Audi,A8,2006,Automatic,104000,Diesel,325,33.6,3,5595
Ford,Tourneo Custom,2017,Manual,41269,Diesel,145,44.8,2,17998
VW,Amarok,2019,Automatic,7500,Diesel,265,28.3,3,37495
VW,Arteon,2019,Semi-Auto,3000,Petrol,145,40.4,1.5,27995
Toyota,Hilux,2018,Automatic,12276,Diesel,265,36.2,2.4,21998
Mercedes,S Class,2019,Semi-Auto,3380,Diesel,145,52.3,3,55890
Hyundai,Santa Fe,2019,Semi-Auto,7119,Diesel,145,39.2,2.2,32995
Ford,Edge,2016,Manual,28043,Diesel,160,48.7,2,18990
Vauxhall,GTC,2017,Manual,67928,Diesel,150,65.7,1.6,7298
Hyundai,I800,2018,Manual,31312,Diesel,145,31.7,0,15500
VW,Tiguan Allspace,2019,Manual,4487,Diesel,145,46.3,2,24500
BMW,X7,2019,Semi-Auto,3003,Diesel,145,33.6,3,64400
BMW,Z4,2014,Manual,31000,Petrol,200,41.5,2,12490
Toyota,Camry,2019,Automatic,10732,Hybrid,135,52.3,2.5,25990
BMW,X4,2017,Automatic,68689,Diesel,145,54.3,2,18999
Toyota,PROACE VERSO,2019,Manual,10,Diesel,145,40.4,2,25200
Ford,Grand Tourneo Connect,2018,Manual,25546,Diesel,145,61.4,1.5,12298
Ford,Grand C-MAX,2017,Manual,38967,Petrol,30,54.3,1,10500
Mercedes,S Class,2019,Semi-Auto,1000,Diesel,145,52.3,3,67109
Audi,Q8,2019,Semi-Auto,5978,Diesel,150,30.7,4,83995
Mercedes,CLA Class,2013,Automatic,66000,Diesel,30,62.8,2.1,14400
Vauxhall,Combo Life,2019,Manual,4,Petrol,145,42.2,1.2,13495
Toyota,Prius,2016,Automatic,10000,Hybrid,0,85.6,1.8,19500
Toyota,Land Cruiser,2004,Automatic,160000,Diesel,325,31.4,3,5975
Hyundai,IX20,2016,Automatic,4210,Petrol,165,43.5,1.6,9500
Ford,Galaxy,2019,Semi-Auto,3802,Diesel,145,54.3,2,28500
Ford,Edge,2019,Semi-Auto,1521,Diesel,145,37.2,2,32500
Skoda,Yeti,2017,Automatic,12000,Petrol,145,51.4,1.2,12650
Toyota,Prius,2015,Automatic,22447,Hybrid,0,68.9,1.8,19723
Ford,Edge,2019,Semi-Auto,7999,Diesel,145,37.2,2,29999
Skoda,Scala,2019,Semi-Auto,430,Petrol,145,47.1,1,16990
Ford,Grand C-MAX,2017,Manual,32058,Diesel,30,64.2,1.5,10200
Hyundai,Santa Fe,2016,Manual,32696,Diesel,200,46.3,2.2,15995
VW,Arteon,2017,Semi-Auto,30874,Petrol,145,47.1,2,18700
Toyota,Prius,2016,Automatic,31182,Hybrid,0,85.6,1.8,17500
Ford,Galaxy,2012,Manual,64237,Petrol,235,39.2,1.6,7985
VW,Amarok,2019,Automatic,5466,Diesel,265,33.6,3,35995
Ford,Puma,2019,Manual,3068,Petrol,145,50.4,1,19990
Hyundai,Santa Fe,2018,Semi-Auto,10500,Diesel,145,39.8,2.2,28490
VW,Arteon,2019,Manual,100,Diesel,145,52.3,2,23950
Hyundai,IX20,2015,Automatic,21900,Petrol,165,43.5,1.6,9990
Hyundai,Santa Fe,2017,Semi-Auto,16686,Diesel,235,42.8,2.2,20999
VW,Beetle,2014,Manual,30323,Diesel,150,55.4,2,12751
Toyota,Verso,2017,Automatic,24972,Petrol,200,42.8,1.8,13495
Skoda,Kamiq,2020,Manual,2500,Petrol,145,47.9,1,18299
VW,Scirocco,2016,Manual,32001,Diesel,20,55.4,2,14698
Hyundai,IX35,2015,Manual,47049,Diesel,160,51.4,2,9398
Skoda,Scala,2020,Automatic,100,Petrol,145,44.8,1.5,19480
BMW,i3,2016,Automatic,35446,Hybrid,0,470.8,0,16500
Toyota,Land Cruiser,2017,Semi-Auto,34580,Diesel,305,38.2,2.8,36450
Toyota,Verso,2016,Manual,44098,Diesel,30,62.8,1.6,9950
Ford,Galaxy,2017,Manual,20999,Diesel,125,56.5,2,19995
VW,Caravelle,2019,Semi-Auto,5434,Diesel,145,33.6,2,42999
Hyundai,IX35,2015,Manual,33910,Petrol,200,41.5,1.6,9891
Audi,R8,2013,Manual,19834,Petrol,570,19.6,4.2,47995
Toyota,Land Cruiser,2018,Automatic,15191,Diesel,150,38.2,2.8,41499
VW,California,2019,Automatic,6739,Diesel,260,33.2,2,57991
Mercedes,SLK,2004,Manual,51566,Petrol,325,30.7,2,4990
Ford,Grand Tourneo Connect,2017,Manual,39494,Diesel,30,64.2,1.5,13200
Vauxhall,Antara,2014,Semi-Auto,62308,Diesel,330,33.2,2.2,6580
Vauxhall,Vivaro,2016,Manual,29652,Diesel,160,50.4,1.6,12995
Ford,Puma,2020,Manual,4998,Petrol,145,50.4,1,20491
Audi,RS4,2018,Automatic,23996,Petrol,145,32.1,2.9,49950
Ford,Galaxy,2019,Semi-Auto,9513,Diesel,145,46.3,2,27700
Mercedes,S Class,2018,Semi-Auto,2286,Petrol,145,40.9,3,56000
VW,Scirocco,2016,Semi-Auto,13200,Diesel,30,62.8,2,15499
Ford,Edge,2017,Semi-Auto,15349,Diesel,200,47.9,2,22099
Skoda,Scala,2020,Semi-Auto,100,Petrol,145,45.6,1.5,18545
Toyota,GT86,2018,Manual,31231,Petrol,150,36.2,2,18490
Mercedes,X-CLASS,2018,Automatic,7820,Diesel,260,31.4,3,37495
BMW,M3,2015,Semi-Auto,37249,Petrol,300,34,3,34269
Ford,KA,2016,Manual,17081,Petrol,30,57.7,1.2,5990
Ford,Grand C-MAX,2018,Manual,32038,Diesel,145,64.2,1.5,11176
Mercedes,CLA Class,2020,Automatic,1000,Petrol,145,44.8,1.3,29998
Mercedes,CLS Class,2016,Semi-Auto,23629,Diesel,145,56.5,2.1,20699
Ford,KA,2012,Manual,47000,Petrol,30,57.7,1.2,4290
Audi,A7,2017,Semi-Auto,38519,Diesel,145,52.3,3,24500
BMW,6 Series,2017,Automatic,31328,Diesel,145,51.4,3,26500
VW,Jetta,2014,Manual,1,Diesel,20,67.3,1.6,7985
Ford,KA,2015,Manual,43544,Petrol,30,57.7,1.2,4775
Skoda,Kamiq,2019,Manual,1000,Petrol,145,47.9,1,17150
